URL,Author Name,Product Name,Retail Price,Sales Price,Category,Tags
https://youredu.io/product/david-snyder-unlimited-lover/,David Snyder,Unlimited Lover,$997.00,$100.00,Coaching,"['Coaching', 'David Snyder', 'instant delivery', 'Unlimited Lover']"
https://youredu.io/product/angel-cruz-near-me-domination/,Angel Cruz,Near Me Domination,$497.00,$85.00,Marketing,"['Angel Cruz', 'instant delivery', 'Marketing']"
https://youredu.io/product/ben-malol-0-to-100000-in-90-days-ecom-blueprint-bootcamp-program/,Ben Malol,"$0 To $100,000 In 90 Days  Ecom Blueprint Bootcamp Program",$297.00,$60.00,Inventory,['Ben Malol']
https://youredu.io/product/super-affiliate-rockstar-inner-circle/,Super Affiliate,Rockstar Inner Circle,$997.00,$110.00,Inventory,['Super Affiliate']
https://youredu.io/product/david-snyder-s-t-e-a-l-t-h-selling-secrets/,David Snyder,S.T.E.A.L.T.H Selling Secrets,$197.00,$60.00,Marketing,"['David Snyder', 'instant delivery', 'Marketing', 'S.T.E.A.L.T.H', 'Selling Secrets']"
https://youredu.io/product/david-snyder-real-world-hypnosis-identity-by-design/,David Snyder,Real World Hypnosis  Identity By Design,$997.00,$110.00,Hypnosis,"['David Snyder', 'Hypnosis', 'Identity By Design', 'instant delivery', 'Real World Hypnosis']"
https://youredu.io/product/david-snyder-conversational-persuasion-influence/,David Snyder,Conversational Persuasion & Influence,$247.00,$60.00,Coaching,"['Coaching', 'Conversational Persuasion', 'David Snyder', 'Influence', 'instant delivery']"
https://youredu.io/product/david-snyder-attractivation/,David Snyder,Attractivation,$297.00,$60.00,Coaching,"['Attractivation', 'Coaching', 'David Snyder', 'instant delivery']"
https://youredu.io/product/ross-jeffries-new-code-next-generation/,Ross Jeffries,New Code Next Generation,$497.00,$85.00,Marketing,"['instant delivery', 'Marketing', 'Ross Jeffries']"
https://youredu.io/product/frederick-dodson-reality-creation-and-manifestation-video-course/,Frederick Dodson,Reality Creation And Manifestation Video Course,$997.00,$110.00,Coaching,"['Coaching', 'Frederick Dodson', 'instant delivery', 'Manifestation', 'Reality Creation']"
https://youredu.io/product/activation-for-therapists-trainers/,Activation For Therapists & Trainers,,$250.00,$60.00,Coaching,"['Activate your Swing', 'Activation for Therapists', 'Coaching', 'Douglas Heel', 'instant delivery', 'Trainers']"
https://youredu.io/product/rsd-madison-boss/,Rsd Madison,Boss,$597.00,$95.00,Coaching,"['Coaching', 'instant delivery', 'Rsd Madison']"
https://youredu.io/product/nathan-chan-instagram-domination-3-0/,Nathan Chan,Instagram Domination 3.0,"$1,297.00",$140.00,Instagram,"['Instagram', 'Instagram Domination', 'instant delivery', 'Marketing', 'Nathan Chan']"
https://youredu.io/product/vanessa-van-edwards-the-power-of-body-language/,Vanessa Van Edwards,The Power Of Body Language,$149.00,$60.00,Inventory,['Vanessa Van Edwards']
https://youredu.io/product/vanessa-van-edwards-master-your-people-skills/,Vanessa Van Edwards,Master Your People Skills,$199.00,$60.00,Coaching,"['Coaching', 'instant delivery', 'People Skills', 'Vanessa Van Edwards']"
https://youredu.io/product/mindvalley-christie-marie-sheldon-unlimited-abundance-live/,Mindvalley,Christie Marie Sheldon  Unlimited Abundance Live,$595.00,$95.00,Coaching,"['Christie Marie Sheldon', 'Coaching', 'instant delivery', 'Mindvalley', 'Unlimited Abundance Live']"
https://youredu.io/product/jason-capital-jedi-mind-tricks-dark-side-mind-tricks/,Jason Capital,Jedi Mind Tricks & Dark Side Mind Tricks,$97.00,$60.00,Coaching,"['Coaching', 'Dark Side Mind Tricks', 'instant delivery', 'Jason Capital', 'Jedi Mind Tricks']"
https://youredu.io/product/mindvalley-om-harmonics/,Mindvalley,Om Harmonics,$149.00,$60.00,Coaching,"['Coaching', 'instant delivery', 'Mindvalley', 'Om Harmonics']"
https://youredu.io/product/deepak-wayne-the-ultimate-seduction-model/,Deepak Wayne,The Ultimate Seduction Model,$197.00,$60.00,Coaching,"['Coaching', 'Deepak Wayne', 'instant delivery', 'Seduction Model']"
https://youredu.io/product/ormond-mcgill-21st-century-hypnotherapy-training/,Ormond Mcgill,21st Century Hypnotherapy Training,$350.00,$75.00,Hypnosis,"['21st Century Hypnotherapy', 'Hypnosis', 'instant delivery', 'Ormond Mcgill']"
https://youredu.io/product/david-tian-limitless-2016/,David Tian,Limitless 2016,"$1,599.00",$175.00,Coaching,"['Coaching', 'David Tian', 'instant delivery', 'Limitless']"
https://youredu.io/product/david-tian-invincible-2016/,David Tian,Invincible 2016,$597.00,$95.00,Coaching,"['Coaching', 'David Tian', 'instant delivery', 'Invincible']"
https://youredu.io/product/rsd-papa-founder-club/,Rsd Papa,Founder Club,$497.00,$85.00,Coaching,"['Coaching', 'Founder Club', 'instant delivery', 'Rsd Papa']"
https://youredu.io/product/david-snyder-killer-influence/,David Snyder,Killer Influence,$997.00,$110.00,Coaching,"['Coaching', 'David Snyder', 'Hypnosis', 'instant delivery', 'Killer Influence']"
